,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,Prediction
0,8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50to99,Pvt Ltd,1,More,1.0,0.0
1,29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50to99,Pvt Ltd,5,Between,0.0,0.0
2,11561,city_21,0.624,Other,No relevent experience,Full time course,Graduate,STEM,5,50to99,Pvt Ltd,0,Less,0.0,0.0
3,666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21,50to99,Funded Startup,4,More,0.0,0.0
4,21651,city_176,0.764,Other,Has relevent experience,Part time course,Graduate,STEM,11,50to99,Pvt Ltd,1,More,1.0,0.0
5,28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,STEM,5,50to99,Funded Startup,1,More,0.0,0.0
6,402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,less than10,Pvt Ltd,5,More,1.0,0.0
7,27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50to99,Pvt Ltd,1,More,1.0,1.0
8,699,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,17,10000plus,Pvt Ltd,5,Less,0.0,0.0
9,29452,city_21,0.624,Other,No relevent experience,Full time course,High School,STEM,2,50to99,Pvt Ltd,0,More,1.0,1.0
10,23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000to9999,Pvt Ltd,1,Less,0.0,0.0
11,25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1000to4999,Pvt Ltd,3,More,0.0,0.0
12,8722,city_21,0.624,Other,No relevent experience,Full time course,High School,STEM,5,50to99,Pvt Ltd,0,More,0.0,0.0
13,6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10to49,Pvt Ltd,5,More,0.0,1.0
14,4167,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,1,50to99,Pvt Ltd,0,Less,0.0,1.0
15,5764,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,2,5000to9999,Pvt Ltd,2,More,0.0,0.0
16,2156,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,10000plus,Pvt Ltd,0,More,1.0,0.0
17,11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50to99,Pvt Ltd,1,Less,1.0,0.0
18,31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100to500,Pvt Ltd,1,Between,0.0,0.0
19,19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100to500,Pvt Ltd,2,More,0.0,1.0
